age_flooring,age_ceiling,height_flooring,height_ceiling,criterias_education,criterias_marriage,prediction
42,50,170,190,1,1,18
50,60,166,190,1,0,21
59,63,170,178,0,0,3
27,32,173,185,4,0,16
26,32,170,190,2,0,10
42,48,160,190,1,0,18
38,83,175,260,1,1,17
68,79,160,180,0,0,14
38,46,170,180,1,0,18
45,55,160,175,0,0,0
39,50,173,185,2,0,1
45,48,176,184,4,3,4
30,45,165,185,1,3,8
30,45,170,260,1,3,24
58,63,173,190,2,0,15
34,40,178,200,0,3,23
27,35,178,183,2,3,5
20,50,160,190,0,0,6
20,50,160,190,0,0,6
38,43,168,178,0,1,25
39,50,176,190,1,0,18
64,69,165,190,0,0,3
20,30,178,190,1,3,20
55,58,175,180,0,0,3
40,50,168,185,1,0,18
25,42,160,190,0,0,6
48,58,168,200,0,0,0
20,50,160,190,0,0,6
28,33,172,178,2,3,5
25,35,175,185,0,3,13
34,42,175,190,1,0,18
25,40,165,185,1,0,18
45,55,179,188,1,0,21
30,50,170,190,0,1,25
57,65,173,180,0,1,3
29,40,170,185,1,3,8
18,83,170,190,1,3,9
38,45,172,185,1,0,18
43,63,172,190,0,0,0
28,38,173,185,2,3,5
20,50,160,190,0,0,6
44,53,160,190,1,0,18
60,63,168,173,1,0,21
40,55,178,190,2,0,1
20,50,160,190,0,0,6
27,30,170,190,1,3,20
33,43,175,182,2,3,27
28,48,170,182,2,0,10
57,61,172,180,1,0,21
29,83,175,190,0,0,9
25,35,170,190,0,3,13
42,52,173,183,1,0,18
37,45,165,175,2,3,27
20,50,160,190,0,0,6
25,38,170,183,1,3,20
21,28,180,187,2,3,5
28,35,175,185,0,3,13
28,45,168,182,1,1,25
38,48,171,260,2,0,12
38,45,176,185,2,3,27
38,48,175,185,0,3,23
45,55,177,190,2,0,1
46,51,168,180,1,0,21
18,83,130,260,0,0,11
60,83,169,180,1,0,14
40,55,170,190,0,0,0
53,60,165,175,0,0,3
23,26,176,185,1,3,20
26,36,172,260,1,3,24
24,30,170,180,0,3,13
50,60,170,188,2,0,1
63,68,165,172,0,0,3
25,35,160,184,1,3,20
58,75,170,180,0,0,3
55,60,168,260,2,1,12
46,99,165,177,0,0,3
38,43,170,180,2,3,27
18,83,130,260,0,0,11
25,29,170,186,1,3,20
47,60,130,260,0,0,28
18,26,180,190,2,3,5
46,55,172,182,1,0,21
20,33,170,190,0,3,13
18,83,130,260,0,0,11
35,45,170,180,0,0,22
35,48,170,180,1,0,18
38,42,175,180,1,1,25
34,39,176,188,1,1,25
38,50,172,195,2,1,10
34,50,170,178,2,0,10
20,35,170,188,0,0,7
32,40,175,185,2,3,27
45,60,175,185,0,0,0
18,83,130,260,0,0,11
32,42,170,185,0,1,25
18,83,130,260,0,0,11
60,70,172,190,1,0,14
45,52,173,183,2,1,1
24,30,175,186,0,3,13
33,43,170,180,1,3,8
24,39,130,260,0,0,2
35,45,175,190,2,3,27
37,43,170,180,1,3,8
22,40,160,190,0,3,13
34,42,173,183,1,1,25
56,67,170,190,2,0,15
25,28,170,190,0,3,13
46,60,168,180,2,0,1
35,42,170,185,2,0,10
39,52,170,181,1,0,18
23,42,155,190,0,0,6
20,50,160,190,0,0,6
45,55,170,180,0,0,0
34,45,173,182,2,0,10
36,46,170,180,2,3,27
55,65,175,195,1,0,21
